time,ax,ay,az,aT
2.0650,0.0258,-0.0171,-0.3591,0.360
2.0780,-0.0387,-0.0241,-0.2223,0.227
2.0860,-0.0581,0.0055,-0.0875,0.105
2.0990,-0.0313,0.0410,-0.0396,0.065
2.1090,0.0347,0.0377,-0.1023,0.114
2.1180,0.0701,0.0449,-0.0586,0.102
2.1280,0.1618,0.0813,-0.0282,0.183
2.1370,0.1346,0.0352,-0.1008,0.172
2.1470,-0.0368,-0.0213,-0.1757,0.181
2.1580,-0.1269,-0.0619,-0.2504,0.287
2.1670,0.0266,-0.0314,-0.2941,0.297
2.1790,0.1033,-0.0371,-0.1658,0.199
2.1850,0.0904,-0.0868,0.0229,0.127
2.1980,0.0365,-0.1205,0.1294,0.181
2.2070,0.1329,-0.0960,0.1354,0.213
2.2180,0.2437,-0.0782,0.0883,0.271
2.2310,0.2144,-0.1055,0.0193,0.240
2.2400,0.0810,-0.1234,-0.0037,0.148
2.2490,0.0290,-0.1155,-0.0717,0.139
2.2610,0.0405,-0.1019,-0.1373,0.176
2.2660,0.1393,-0.0642,-0.1157,0.192
2.2790,0.2072,-0.0899,-0.1043,0.249
2.2860,0.1616,-0.1805,-0.1365,0.278
2.2980,0.1479,-0.2162,-0.0746,0.272
2.3050,0.1665,-0.1294,0.0518,0.217
2.3160,0.1849,-0.0123,0.1791,0.258
2.3290,0.0685,0.0600,0.4000,0.410
2.3370,0.0466,0.1228,0.5638,0.579
2.3470,-0.0580,0.1438,0.5107,0.534
2.3580,-0.0759,0.1559,0.3504,0.391
2.3660,0.0523,0.0797,0.1089,0.145
2.3780,0.0956,-0.0679,-0.1309,0.176
2.3850,0.0492,-0.1354,-0.2449,0.284
2.3970,0.0674,-0.0896,-0.3931,0.409
2.4050,0.1027,-0.0455,-0.6117,0.622
2.4170,0.0803,-0.0683,-0.5215,0.532
2.4280,-0.0038,-0.1098,-0.2416,0.265
2.4380,-0.0307,-0.0930,-0.1262,0.160
2.4460,-0.0201,-0.0396,-0.1145,0.123
2.4590,0.0603,0.0258,-0.0844,0.107
2.4660,0.1464,0.0681,0.0616,0.173
2.4790,0.1503,0.0300,0.1440,0.210
2.4850,0.1368,-0.0527,0.1245,0.192
2.4990,0.1106,-0.0926,0.0202,0.146
2.5060,0.0550,-0.0840,-0.1652,0.193
2.5180,0.0540,-0.0199,-0.3306,0.336
2.5320,0.0697,-0.0003,-0.3033,0.311
2.5380,0.0861,-0.0763,-0.2231,0.251
2.5490,0.1416,-0.1617,-0.1835,0.283
2.5580,0.2155,-0.2452,-0.1388,0.355
2.5660,0.2851,-0.2580,-0.1366,0.408
2.5810,0.2815,-0.3196,-0.1957,0.469
2.5870,0.1386,-0.3302,-0.0969,0.371
2.5990,-0.0343,-0.2882,0.3051,0.421
2.6080,-0.2436,-0.3023,0.6067,0.720
2.6180,-0.3446,-0.2353,0.8360,0.934
2.6330,-0.1976,-0.1041,0.8041,0.834
2.6380,0.0917,0.0540,0.4855,0.497
2.6530,0.2583,0.1010,0.1898,0.336
2.6580,0.2376,-0.0030,-0.2500,0.345
2.6670,0.1218,-0.1040,-0.7874,0.803
2.6820,0.1697,-0.1386,-1.3395,1.357
2.6860,0.1751,-0.1527,-1.5436,1.561
2.6990,-0.0963,-0.1955,-1.2745,1.293
2.7070,-0.4536,-0.2386,-0.7656,0.921
2.7220,-0.7196,-0.0383,-0.4617,0.856
2.7340,-1.3029,0.0522,0.3058,1.339
2.7380,-1.1669,0.3344,0.8810,1.500
2.7500,-0.4037,0.6133,0.6936,1.010
2.7560,-0.3449,0.4654,0.2814,0.644
2.7680,-0.5131,0.2250,0.0236,0.561
2.7790,-0.4861,0.1002,-0.0911,0.505
2.7850,-0.1763,0.1336,-0.3309,0.398
2.7990,0.1851,0.1055,-0.3960,0.450
2.8070,0.2247,-0.0458,-0.1424,0.270
2.8190,0.2422,-0.1218,0.1567,0.313
2.8290,0.2155,-0.1026,0.2969,0.381
2.8460,0.2880,-0.1049,0.3964,0.501
2.8470,0.4899,-0.1626,0.4775,0.703
2.8600,0.5475,-0.2615,0.3847,0.718
2.8690,0.4397,-0.2711,0.2609,0.579
2.8880,0.3267,-0.2196,0.2204,0.451
2.8890,0.2557,-0.1119,0.2304,0.362
2.8980,0.2358,-0.0379,0.2839,0.371
2.9070,0.1500,-0.0080,0.3298,0.362
2.9160,0.0492,-0.0105,0.2168,0.223
2.9280,0.0096,0.0119,-0.0690,0.071
2.9370,-0.0034,0.0342,-0.2651,0.267
2.9480,-0.0172,0.0600,-0.4043,0.409
2.9600,0.0017,0.0830,-0.4421,0.450
2.9710,0.0247,0.0674,-0.4403,0.446
2.9790,0.0549,0.0102,-0.3979,0.402
2.9900,0.0405,-0.1499,-0.2775,0.318
3.0000,-0.0045,-0.1830,-0.1341,0.227
3.0070,0.0197,-0.1386,-0.0346,0.144
3.0170,0.0755,-0.0900,0.0097,0.118
3.0260,0.0152,-0.0977,-0.0143,0.100
3.0360,-0.0680,-0.1473,-0.0598,0.173
3.0460,-0.0978,-0.2168,-0.0358,0.241
3.0570,-0.0161,-0.2424,-0.0766,0.255
3.0660,0.0569,-0.2149,-0.2039,0.302
3.0790,0.0565,-0.1978,-0.2787,0.346
3.0850,0.0264,-0.1584,-0.3227,0.360
3.0970,0.0967,-0.1107,-0.3048,0.338
3.1060,0.1859,-0.0797,-0.2528,0.324
3.1210,0.1546,-0.0461,-0.1799,0.242
3.1380,0.1353,-0.0631,-0.1361,0.202
3.1380,0.0480,-0.0899,-0.0925,0.138
3.1490,-0.0320,-0.0785,-0.0094,0.085
3.1610,-0.0713,-0.0386,0.0152,0.082
3.1670,-0.1326,-0.0085,0.0494,0.142
3.1810,-0.0841,0.0201,0.2142,0.231
3.1870,0.0090,0.0404,0.3609,0.363
3.1980,0.0554,-0.0044,0.3821,0.386
3.2110,0.0232,-0.0087,0.2540,0.255
3.2160,-0.0168,-0.0164,0.0671,0.071
3.2360,-0.1189,0.0158,-0.0663,0.137
3.2390,-0.1267,0.0318,-0.0987,0.164
3.2480,-0.1220,0.0608,-0.1101,0.175
3.2590,-0.1485,0.0648,0.0119,0.162
3.2660,-0.1704,0.0301,0.1759,0.247
3.2810,-0.0886,0.0619,0.3210,0.339
3.2870,0.0298,0.1215,0.3889,0.409
3.2970,0.1777,0.1195,0.3043,0.372
3.3060,0.2804,0.0715,0.1288,0.317
3.3200,0.2034,-0.0699,-0.1772,0.279
3.3330,0.1022,-0.1887,-0.3697,0.427
3.3390,-0.5841,-0.2972,0.9079,1.120
3.3540,-0.2317,-0.0535,0.7779,0.813
3.3570,0.1182,0.2448,-0.3120,0.414
3.3660,0.0220,0.2082,-0.8408,0.866
3.3770,-0.0988,-0.0241,-0.8789,0.885
