time,ax,ay,az,aT
1.8420,0.0842,0.1210,-0.0404,0.153
1.8510,-0.1625,0.2395,-0.0978,0.306
1.8590,-0.2583,0.2160,-0.1338,0.362
1.8690,-0.2110,0.1180,-0.0510,0.247
1.8790,-0.1009,0.0357,0.1107,0.154
1.8880,0.2354,0.0318,0.3570,0.429
1.9000,0.4834,0.0374,0.5462,0.730
1.9110,0.6125,0.0043,0.6708,0.908
1.9190,0.5384,-0.0634,0.5688,0.786
1.9300,0.2655,-0.1113,0.3171,0.428
1.9390,-0.0198,-0.0769,0.1371,0.158
1.9490,-0.2306,0.0279,-0.0794,0.246
1.9630,-0.3175,0.1212,-0.2088,0.399
1.9690,-0.2595,0.1581,-0.3223,0.443
1.9810,-0.2081,0.0651,-0.2682,0.346
1.9890,-0.1425,0.0069,-0.1792,0.229
2.0010,0.0089,0.0018,0.0364,0.037
2.0100,0.1081,0.0024,0.2821,0.302
2.0230,0.1278,0.0441,0.4459,0.466
2.0290,0.1189,0.0854,0.4973,0.518
2.0400,0.0052,0.0748,0.3772,0.385
2.0480,-0.1048,0.0535,0.1866,0.221
2.0620,-0.2265,0.0352,0.1054,0.252
2.0680,-0.2581,0.0708,0.1719,0.318
2.0810,-0.1063,0.1343,0.1512,0.228
2.0890,0.1852,0.1553,-0.0429,0.245
2.1010,0.3336,0.0290,-0.2703,0.430
2.1140,0.1837,-0.0541,-0.2980,0.354
2.1200,0.0181,-0.0612,-0.3668,0.372
2.1340,-0.0412,0.0222,-0.3495,0.353
2.1400,-0.0302,0.1119,-0.0483,0.126
2.1520,-0.0244,0.1599,0.3839,0.417
2.1610,-0.0038,0.1241,0.5471,0.561
2.1710,0.0001,0.0507,0.6017,0.604
2.1800,0.0930,-0.0520,0.5359,0.546
2.1910,0.2595,-0.0963,0.3969,0.484
2.2000,0.3770,-0.1079,0.1335,0.414
2.2170,0.3509,-0.0833,-0.0359,0.362
2.2250,0.2083,-0.0403,-0.0601,0.221
2.2290,0.1373,0.0335,-0.1290,0.191
2.2430,0.0949,0.0916,-0.1940,0.235
2.2510,0.1319,0.1037,-0.1296,0.212
2.2620,0.0736,0.0686,-0.0695,0.122
2.2700,0.0698,0.0913,0.0596,0.129
2.2820,0.0261,0.1228,0.1775,0.217
2.2910,-0.1351,0.0987,0.3220,0.363
2.3020,-0.2918,0.1109,0.4267,0.529
2.3120,-0.3109,0.1831,0.2763,0.455
2.3220,-0.3236,0.1816,0.0195,0.372
2.3300,-0.3442,0.2215,-0.2353,0.472
2.3450,-0.2948,0.1962,-0.4377,0.563
2.3500,-0.2979,0.1184,-0.6018,0.682
2.3620,-0.2808,0.0556,-0.7464,0.799
2.3720,-0.1941,0.0564,-0.7795,0.805
2.3810,-0.0795,0.0716,-0.5066,0.518
2.3900,-0.0272,0.0430,-0.0658,0.083
2.4020,-0.0233,0.0937,0.4137,0.425
2.4080,0.0864,0.1926,0.7197,0.750
2.4210,0.1564,0.1756,0.7351,0.772
2.4300,0.1793,0.1374,0.5444,0.589
2.4410,0.0980,0.0843,0.2247,0.259
2.4500,-0.0568,0.0859,-0.2793,0.298
2.4620,-0.6567,-0.1648,-1.8817,2.000
2.4690,-0.3107,0.2730,-1.3547,1.416
2.4810,-0.4452,0.3877,-0.7496,0.954
2.4900,-0.6236,0.1864,-0.5340,0.842
2.5020,-0.6625,-0.0235,-0.5826,0.882
2.5090,-0.4689,-0.0730,-0.5023,0.691
