time,ax,ay,az,aT
4.1280,-5.5551,-3.1025,-0.9716,6.437
4.1380,-4.0297,-2.6795,-0.9090,4.924
4.1480,-0.0617,-1.8794,0.2713,1.900
4.1570,2.7462,-1.1266,0.7270,3.056
4.1690,4.7185,-0.6756,0.8186,4.836
4.1780,4.7219,-0.5201,0.6390,4.793
4.1890,4.5948,-0.8509,2.7892,5.442
4.1980,3.9724,-0.8170,1.3978,4.290
4.2080,2.6320,-0.8144,-0.1171,2.758
4.2170,1.6877,-0.8512,-1.5328,2.434
4.2280,1.1279,-1.2166,-1.6886,2.367
4.2390,0.6418,-1.8750,-1.2962,2.368
4.2480,-0.8563,-2.9203,-0.9110,3.177
4.2570,-1.5444,-3.5261,0.6206,3.899
4.2680,0.9912,-3.5649,2.3594,4.388
4.2780,3.0650,-2.5688,2.3807,4.654
4.2900,3.5532,-1.4053,0.6673,3.879
4.2970,2.7498,-0.1425,-0.7739,2.860
4.3090,2.8249,1.6868,-0.4020,3.315
4.3170,3.1147,2.7100,0.4466,4.153
4.3280,2.3499,3.2051,0.5093,4.007
4.3400,3.0391,2.6940,0.9508,4.171
4.3480,3.9208,1.8794,0.5335,4.381
4.3570,2.1105,0.1999,-0.5041,2.179
4.3680,-2.8714,-2.5533,0.5824,3.886
4.3780,-6.1930,-2.8840,1.7715,7.058
4.3960,-5.0990,-0.6029,2.3816,5.660
4.3990,-1.9377,1.4096,2.3511,3.357
4.4140,2.0720,2.6070,0.0522,3.331
4.4190,2.8281,2.1315,1.2720,3.763
4.4290,3.3674,2.5145,1.4046,4.431
4.4370,3.9377,2.7490,0.4346,4.822
4.4480,3.0906,2.9654,0.1877,4.287
4.4570,2.5444,2.9486,-0.0533,3.895
4.4680,2.3847,2.7374,0.5949,3.679
4.4770,2.0987,2.7408,1.7923,3.890
4.4890,1.7992,2.9492,2.7695,4.428
4.4970,1.7766,3.2132,3.5488,5.106
4.5120,2.8397,3.1596,3.2940,5.376
4.5180,3.3620,3.1932,2.4292,5.235
4.5280,3.8195,4.0528,2.0549,5.936
4.5370,3.8362,4.0201,1.2298,5.691
4.5490,3.6618,3.0991,-0.4328,4.817
4.5600,2.7556,1.9011,-2.6765,4.286
4.5680,0.1012,-0.7504,-4.8515,4.910
4.5770,-3.0860,-3.5081,-3.9005,6.086
4.5880,-1.9774,-7.0762,-1.5969,7.519
4.5970,-2.4942,-10.9983,2.4181,11.534
4.6150,-3.0122,-14.3588,4.2988,15.288
4.6180,-2.8935,-15.4548,5.1902,16.558
4.6300,-1.8534,-15.6751,2.8196,16.034
4.6370,-0.4546,-15.4071,-0.0936,15.414
4.6480,1.0231,-8.9211,-2.9716,9.459
4.6570,1.1054,-1.3779,-7.6229,7.825
4.6690,1.2095,4.3039,-8.2453,9.379
4.6770,2.4982,2.6322,-2.9163,4.656
4.6880,3.0347,1.1802,0.6367,3.318
4.6970,3.0950,0.3177,2.4970,3.989
4.7140,3.3110,0.0709,2.9925,4.463
4.7250,3.5003,0.3666,2.4967,4.315
4.7300,3.2547,0.7080,1.4638,3.638
4.7370,2.2842,0.6867,0.3395,2.409
4.7480,2.0268,0.1449,-0.0808,2.034
4.7570,1.8908,-0.1257,-0.3856,1.934
4.7680,1.1973,-0.0805,-0.7069,1.393
4.7780,0.1721,0.0027,-0.4006,0.436
4.7890,-0.5669,-0.1381,0.4815,0.756
4.7980,-0.7374,-0.0025,0.7253,1.034
4.8090,-1.1973,-0.0473,1.0266,1.578
4.8210,-1.4195,-0.3153,1.0748,1.808
4.8410,-0.8566,0.0246,0.2981,0.907
4.8450,1.0736,4.2003,-0.5605,4.371
4.8520,0.8830,4.7262,0.1958,4.812
4.8580,0.6833,4.1617,2.2683,4.789
4.8690,-1.1409,0.1827,4.8081,4.945
4.8780,-0.7457,-1.6814,5.5337,5.831
4.8880,0.0749,-2.0358,3.0746,3.688
4.9050,0.7018,-1.1881,0.4958,1.466
4.9080,1.1565,-0.7920,-1.0927,1.777
4.9170,1.4824,-0.9520,-2.2426,2.852
4.9300,1.6801,-0.8534,-3.0903,3.620
4.9380,2.0107,0.6391,-4.5263,4.994
4.9490,1.4515,0.8252,-4.4988,4.799
4.9570,1.1086,0.2441,-2.7381,2.964
4.9700,0.7545,-0.2753,-0.8591,1.176
4.9830,0.4626,-0.7775,1.2431,1.537
4.9890,0.8653,-0.8908,2.1105,2.449
5.0000,1.4065,-1.0587,1.5975,2.377
5.0080,1.6745,-0.7181,0.7177,1.958
5.0170,1.1753,-0.7680,-0.5800,1.519
5.0390,0.6348,-1.0661,-1.6121,2.034
5.0420,0.7684,-0.8900,-2.1319,2.435
5.0510,1.0581,-0.8560,-2.3052,2.677
5.0570,0.8705,-0.9737,-2.2277,2.582
5.0680,1.0036,-0.9656,-2.9842,3.293
5.0770,1.1172,-0.8708,-3.8364,4.090
5.0890,0.5974,-0.8082,-1.5840,1.876
5.0980,-0.1805,-0.1086,0.3238,0.386
5.1080,-0.5873,0.8622,1.1751,1.571
5.1190,-0.5070,1.8670,2.1436,2.888
5.1320,-0.5193,2.2837,2.0101,3.086
5.1370,-0.8630,2.0521,1.9985,2.992
5.1500,-1.1714,1.2425,2.3884,2.936
5.1570,-1.4204,0.5552,2.6516,3.059
5.1690,-1.1749,0.1932,1.9933,2.322
5.1770,-0.7073,0.1545,1.5948,1.751
5.1890,-0.1422,-0.0357,1.2194,1.228
5.2060,0.2122,-0.2228,0.7618,0.822
5.2110,0.2662,-0.3353,-0.1107,0.442
5.2320,0.2508,-0.2990,-0.7341,0.831
5.2360,0.2996,-0.2926,-1.4829,1.541
5.2400,0.2843,-0.1459,-1.5244,1.558
5.2510,0.0564,0.0175,-1.1609,1.162
5.2580,0.1685,0.1029,-1.1664,1.183
5.2700,-0.2908,0.1089,-0.6758,0.744
5.2780,-0.4097,0.0763,-0.2173,0.470
5.2890,-0.3015,0.2746,0.4092,0.578
5.3060,-0.3145,0.3340,0.8331,0.951
5.3100,-0.5038,0.1787,1.3101,1.415
5.3320,-0.4427,0.0111,1.3417,1.413
5.3370,-0.0208,0.0382,0.7708,0.772
5.3400,0.2640,0.1896,0.1135,0.344
5.3520,0.3211,0.2954,-0.4146,0.602
5.3580,0.3826,0.3687,-0.5844,0.790
5.3690,0.5181,0.3917,-0.2999,0.715
5.3780,0.5779,0.3180,0.0918,0.666
5.3890,0.5476,0.2085,0.3828,0.700
5.3980,0.3956,0.0428,0.4291,0.585
5.4100,0.2314,-0.0924,0.3360,0.418
5.4240,0.0999,-0.0617,0.2110,0.241
5.4290,0.0943,-0.0137,0.1935,0.216
5.4500,0.2105,-0.0159,0.2199,0.305
5.4540,0.2053,-0.0174,0.2050,0.291
5.4570,0.3135,0.0181,-0.0517,0.318
5.4700,0.3052,0.0226,-0.1087,0.325
5.4790,0.4036,-0.0219,-0.0019,0.404
5.4890,0.4403,-0.0613,0.2070,0.490
5.4980,0.5102,-0.0203,0.4829,0.703
5.5090,0.6224,0.1177,0.6660,0.919
5.5230,0.7641,0.1597,0.6910,1.043
5.5290,0.7570,0.1639,0.4947,0.919
5.5430,0.7435,0.1471,0.0749,0.762
5.5480,0.7294,0.1924,-0.2246,0.787
5.5580,0.5994,0.1733,-0.3339,0.708
5.5720,0.4016,0.1872,-0.1845,0.480
5.5770,0.2340,0.1956,0.0934,0.319
5.5890,0.1456,0.1588,0.2708,0.346
5.5980,0.0921,0.0909,0.2347,0.268
5.6090,0.0241,-0.0307,0.0430,0.058
5.6290,0.0207,-0.0313,0.0393,0.054
5.6330,0.0115,-0.2496,-0.2976,0.389
5.6590,0.0518,-0.3166,-0.2684,0.418
5.6630,0.0930,-0.2673,-0.2048,0.349
5.6660,0.1332,-0.1136,-0.2271,0.287
5.6690,0.2625,0.1036,-0.2580,0.382
5.6790,0.4732,0.2958,-0.3095,0.638
5.6910,0.7060,0.3744,-0.2054,0.825
5.6980,0.7741,0.2962,-0.0815,0.833
5.7090,0.7708,0.1258,0.0460,0.782
5.7180,0.6425,0.0316,0.0593,0.646
5.7310,0.2409,-0.0094,-0.0066,0.241
5.7550,-0.2703,0.1266,-0.0376,0.301
5.7600,-0.6299,0.3059,0.1695,0.720
5.7610,-0.7547,0.3528,0.5286,0.987
5.7690,-0.9926,0.2250,0.9250,1.375
5.7780,-0.9540,0.2325,1.2075,1.556
5.7920,-1.0695,0.1332,1.2930,1.683
5.7980,-1.2280,0.0433,1.1066,1.654
5.8100,-1.4159,-0.0070,0.7191,1.588
5.8180,-1.4388,0.0169,0.4167,1.498
5.8310,-1.1320,0.1186,0.3399,1.188
5.8500,-0.6761,0.2278,0.4123,0.824
5.8540,-0.1907,0.2676,0.4422,0.551
5.8600,0.2267,0.3084,0.3773,0.537
5.8680,0.7113,0.3393,0.2352,0.822
5.8780,0.9490,0.3300,0.0546,1.006
5.8930,1.0001,0.3755,-0.0862,1.072
5.9280,0.8788,0.4230,-0.0756,0.978
5.9290,0.7276,0.4535,0.1207,0.866
5.9290,0.5645,0.3918,0.3060,0.752
5.9300,0.3376,0.3072,0.2758,0.533
5.9370,0.2031,0.1950,0.0902,0.296
5.9480,0.0971,0.0888,-0.1699,0.215
5.9570,-0.0605,-0.0508,-0.4403,0.447
5.9680,-0.1743,-0.1492,-0.6774,0.715
5.9790,-0.2430,-0.2092,-0.8233,0.884
5.9900,-0.2531,-0.2318,-0.9111,0.974
5.9980,-0.1992,-0.2540,-0.9803,1.032
6.0090,-0.1034,-0.2397,-1.0112,1.044
6.0170,0.0669,-0.2846,-0.9823,1.025
6.0280,0.2270,-0.3463,-0.8325,0.930
6.0370,0.3494,-0.4278,-0.7270,0.913
6.0510,0.4905,-0.3811,-0.6658,0.911
6.0720,0.4971,-0.2458,-0.4824,0.735
6.0750,0.4131,-0.0552,-0.3174,0.524
6.0780,0.4477,0.1993,-0.0633,0.494
6.0890,0.4525,0.2496,0.1647,0.542
6.0990,0.5452,0.3135,0.2496,0.677
6.1180,0.5564,0.4044,0.3539,0.774
6.1200,0.5514,0.6372,0.3928,0.930
6.1400,0.4398,0.7879,0.2758,0.944
6.1430,0.3343,0.8363,0.1274,0.910
6.1490,0.2736,0.6798,0.1055,0.740
6.1610,0.1106,0.3006,0.1030,0.336
6.1690,-0.2647,-0.1588,0.0330,0.310
6.1780,-0.6460,-0.4996,-0.0665,0.819
6.1880,-0.8254,-0.5843,-0.1592,1.024
6.1980,-0.9011,-0.4686,-0.3119,1.062
6.2210,-0.9162,-0.1628,-0.5582,1.085
6.2270,-0.6892,0.2026,-0.8533,1.115
6.2290,-0.2594,0.4147,-0.9192,1.041
6.2410,0.1698,0.3654,-0.7101,0.816
6.2480,0.4739,0.1867,-0.3004,0.591
6.2570,0.4715,-0.0428,-0.0787,0.480
6.2680,0.1975,-0.2225,-0.1495,0.333
6.2780,-0.1640,-0.1956,-0.3758,0.454
6.2890,-0.6170,-0.0517,-0.6578,0.903
6.2980,-0.8703,0.1232,-0.7855,1.179
6.3180,-0.9838,0.3511,-0.8913,1.373
6.3250,-0.8338,0.5208,-0.9163,1.344
6.3440,-0.5174,0.4434,-0.7256,0.995
6.3490,-0.1139,0.3304,-0.4466,0.567
6.3510,0.1831,0.0878,-0.2709,0.339
6.3590,0.2666,-0.1709,-0.3336,0.460
6.3700,0.2510,-0.2734,-0.5197,0.639
6.3800,0.1296,-0.2794,-0.6682,0.736
6.3900,-0.0755,-0.1930,-0.7525,0.781
6.3990,-0.2184,-0.1135,-0.7802,0.818
6.4090,-0.3034,-0.1159,-0.8447,0.905
6.4200,-0.3444,-0.1284,-0.8523,0.928
6.4460,-0.3971,-0.0744,-0.7201,0.826
6.4490,-0.5411,0.0541,-0.4328,0.695
6.4510,-0.7062,0.1537,0.0250,0.723
6.4580,-0.6766,0.2538,0.4169,0.834
6.4700,-0.3977,0.2910,0.7470,0.895
6.4820,-0.1663,0.2748,1.0001,1.050
6.4890,0.1861,0.3347,1.3711,1.424
6.4990,0.1128,0.2578,1.7944,1.816
6.5090,-0.0852,0.1620,2.0595,2.068
6.5220,0.0134,0.1462,2.1210,2.126
6.5470,0.0101,0.1383,2.0485,2.053
6.5500,0.6034,0.4009,1.0648,1.288
6.5540,0.7881,0.4553,0.3317,0.969
6.5580,0.9683,0.4594,-0.3252,1.120
6.5690,0.9745,0.5040,-0.6437,1.272
6.5820,0.5918,0.4528,-0.5809,0.945
6.5890,0.1180,0.2532,-0.1356,0.310
6.5990,-0.3832,-0.1236,0.4918,0.636
6.6090,-0.8185,-0.4488,0.8361,1.253
6.6180,-1.2881,-0.4722,0.8892,1.635
6.6370,-1.5670,-0.2346,0.7709,1.762
6.6440,-1.6650,0.1457,0.6217,1.783
6.6640,-1.5748,0.4645,0.4859,1.712
6.6690,-1.4752,0.5637,0.1154,1.583
6.6700,-1.2770,0.3633,-0.1165,1.333
6.6780,-0.8981,0.1832,0.0298,0.917
6.6900,-0.5828,0.0334,0.3986,0.707
6.6990,-0.1684,0.0845,0.8832,0.903
6.7090,0.0857,0.1317,1.2039,1.214
6.7210,0.0944,0.0884,1.3608,1.367
6.7460,-0.0958,0.0745,1.2773,1.283
6.7500,-0.5808,0.1698,0.7964,1.000
6.7520,-1.2273,0.2305,0.0925,1.252
6.7580,-2.0721,0.2364,-0.6974,2.199
6.7710,-2.7217,0.0281,-1.2725,3.005
6.7780,-2.9780,-0.2766,-1.5395,3.364
6.7890,-2.8697,-0.5538,-1.5720,3.319
6.8000,-2.6212,-0.6442,-1.5301,3.103
6.8090,-2.1733,-0.6428,-1.5836,2.765
6.8200,-1.4709,-0.4535,-1.8725,2.424
6.8290,-0.7211,-0.3425,-2.1647,2.307
6.8410,0.1244,-0.2168,-2.3933,2.406
6.8680,0.9119,-0.0418,-2.6436,2.797
6.8720,1.2314,0.1393,-2.8421,3.101
6.8750,1.1396,0.4020,-2.7763,3.028
6.8780,0.8269,0.6250,-2.3667,2.584
6.8890,0.3940,0.7281,-1.5798,1.784
6.9110,-0.0288,0.7063,-0.8629,1.115
6.9170,-0.2745,0.6039,-0.1275,0.675
6.9180,-0.3259,0.4633,0.3309,0.656
6.9280,-0.0834,0.1729,0.3943,0.439
6.9370,0.2664,-0.1549,-0.0848,0.320
6.9490,0.2522,-0.7279,-0.7018,1.042
6.9570,-0.1556,-1.2485,-1.2082,1.744
6.9680,-0.8235,-1.6156,-1.8140,2.565
6.9770,-1.1522,-1.6272,-2.3570,3.087
6.9890,-1.2664,-1.4404,-2.7591,3.360
7.0030,-1.2379,-1.2183,-2.5057,3.049
7.0100,-1.1285,-1.1084,-2.1201,2.645
7.0200,-0.8025,-1.2117,-2.1487,2.594
7.0290,-0.1514,-1.4954,-2.6156,3.017
