time,gFx,gFy,gFz,TgF
19.598000,-0.0673,-0.0586,-0.4869,0.495
19.602000,-0.1493,-0.0993,-0.4333,0.469
19.608000,-0.2169,-0.1950,-0.3084,0.425
19.612000,-0.5305,-0.3573,-0.1970,0.669
19.619000,-0.6535,-0.4013,-0.1114,0.775
19.622000,-0.7850,-0.4125,-0.0090,0.887
19.628000,-1.0202,-0.4297,0.0297,1.107
19.632000,-1.2064,-0.3840,0.1007,1.270
19.638000,-1.3415,-0.3233,0.3014,1.412
19.642000,-1.5851,-0.2092,0.9045,1.837
19.648000,-1.6347,-0.2046,0.7444,1.808
19.656000,-1.5961,-0.3474,-0.2944,1.660
19.660000,-1.5272,-0.4903,-0.9504,1.864
19.661000,-1.3987,-0.5353,-0.9331,1.765
19.677000,-1.1280,-0.4912,-0.5132,1.333
19.678000,-0.9759,-0.4178,-0.1099,1.067
19.680000,-1.1073,-0.3287,0.2262,1.177
19.689000,-1.3889,-0.3244,0.2102,1.442
19.693000,-1.7818,-0.3722,0.0524,1.821
19.695000,-2.0257,-0.4109,-0.1826,2.075
19.699000,-1.7815,-0.3597,-0.6397,1.927
19.704000,-1.5287,-0.2696,-0.6994,1.703
19.710000,-1.3917,-0.1910,-0.5917,1.524
19.713000,-1.3109,-0.1577,-0.4802,1.405
19.723000,-1.2548,-0.1739,-0.3982,1.328
19.725000,-1.2480,-0.2454,-0.3610,1.322
19.728000,-1.2265,-0.2902,-0.3701,1.314
19.732000,-1.1943,-0.3117,-0.3737,1.290
19.741000,-1.1592,-0.3134,-0.3092,1.240
19.743000,-1.1569,-0.3055,-0.2149,1.216
19.747000,-1.1756,-0.2814,-0.2075,1.227
19.755000,-1.1853,-0.2563,-0.2415,1.236
19.759000,-1.1050,-0.2279,-0.3039,1.168
19.762000,-1.0086,-0.2536,-0.3487,1.097
19.767000,-1.0111,-0.3274,-0.4086,1.139
19.773000,-1.0432,-0.4253,-0.4694,1.220
19.778000,-1.0206,-0.4939,-0.4865,1.234
19.782000,-0.9025,-0.5387,-0.4371,1.138
19.787000,-0.7328,-0.5491,-0.3133,0.968
19.792000,-0.7304,-0.5118,-0.1131,0.899
19.798000,-0.6783,-0.4699,0.1638,0.841
19.805000,-0.5327,-0.4652,0.4223,0.824
19.809000,-0.4172,-0.4671,0.7142,0.950
19.812000,-0.4707,-0.4584,0.8022,1.037
19.822000,-0.5468,-0.4748,0.8358,1.106
19.825000,-0.5099,-0.5513,0.8054,1.101
19.828000,-0.4154,-0.6877,0.7313,1.086
19.833000,-0.2770,-0.6527,0.9705,1.202
19.841000,-0.1771,-0.6357,0.6783,0.946
19.845000,-0.0638,-0.7034,0.4285,0.826
19.847000,-0.0023,-0.7490,0.3723,0.836
19.859000,0.0923,-0.8548,0.7354,1.131
19.863000,-0.0347,-0.8291,0.7460,1.116
19.865000,-0.2899,-0.7792,0.8736,1.206
19.880000,-0.4467,-0.8984,0.4082,1.083
19.884000,-0.6001,-1.1491,-0.2500,1.320
19.887000,-0.5937,-1.3316,-1.2098,1.895
19.890000,-0.4851,-1.5248,-1.7348,2.360
19.893000,-0.3622,-1.6802,-1.8267,2.508
19.894000,-0.2907,-1.7737,-1.5203,2.354
19.900000,-0.3294,-1.7255,-0.9866,2.015
19.906000,-0.3761,-1.5691,-0.6541,1.741
19.907000,-0.3778,-1.3796,-0.3635,1.476
19.912000,-0.3481,-1.1818,-0.1357,1.239
19.923000,-0.3117,-1.0042,0.1399,1.061
19.926000,-0.3610,-0.8513,0.3286,0.981
19.929000,-0.3308,-0.7531,0.4267,0.927
19.932000,-0.1891,-0.6832,0.4357,0.832
19.938000,-0.0710,-0.5968,0.3963,0.720
19.942000,0.0619,-0.5053,0.3004,0.591
19.947000,0.1577,-0.4586,0.1816,0.518
19.955000,0.2077,-0.4290,0.0822,0.484
19.959000,0.2217,-0.4015,0.0472,0.461
19.962000,0.1776,-0.3960,0.0500,0.437
19.967000,0.1215,-0.3878,0.0680,0.412
19.972000,0.0674,-0.3789,0.0618,0.390
19.978000,0.0391,-0.3830,0.0173,0.385
19.982000,0.0177,-0.4020,-0.0548,0.406
19.990000,-0.0046,-0.4219,-0.0690,0.428
19.992000,-0.0092,-0.4575,-0.1000,0.468
19.998000,0.0037,-0.5031,-0.1484,0.525
20.007000,-0.0007,-0.5459,-0.2293,0.592
20.009000,-0.0469,-0.6004,-0.3191,0.682
20.012000,-0.1184,-0.6434,-0.3351,0.735
20.024000,-0.1821,-0.6943,-0.2972,0.777
20.028000,-0.2807,-0.7536,-0.2060,0.830
20.030000,-0.3817,-0.8149,-0.0547,0.902
20.033000,-0.4325,-0.8459,0.0540,0.952
20.042000,-0.5104,-0.8641,0.0998,1.009
20.045000,-0.6211,-0.8405,0.1170,1.052
20.048000,-0.7316,-0.8198,0.1472,1.109
20.062000,-0.7841,-0.8098,0.1620,1.139
20.065000,-0.8282,-0.8063,0.1749,1.169
20.068000,-0.8286,-0.7775,0.1876,1.152
20.071000,-0.8265,-0.7373,0.1831,1.123
20.073000,-0.8448,-0.7013,0.1608,1.110
20.080000,-0.7467,-0.6435,0.0221,0.986
20.082000,-0.6747,-0.5928,-0.0806,0.902
20.088000,-0.6062,-0.5789,-0.1289,0.848
20.092000,-0.5317,-0.5454,-0.1932,0.786
20.098000,-0.5108,-0.5372,-0.1940,0.766
20.104000,-0.4814,-0.5124,-0.1899,0.728
20.108000,-0.4197,-0.4661,-0.1804,0.653
20.112000,-0.3866,-0.4440,-0.1537,0.608
20.118000,-0.3252,-0.3899,-0.0836,0.515
20.123000,-0.2858,-0.3601,-0.0249,0.460
20.127000,-0.2675,-0.3584,0.0100,0.447
20.132000,-0.2557,-0.3571,0.0337,0.440
20.140000,-0.2453,-0.3750,0.0617,0.452
20.143000,-0.2342,-0.4217,0.0943,0.491
20.148000,-0.2740,-0.4994,0.1341,0.585
20.167000,-0.3156,-0.7603,0.2198,0.852
20.168000,-0.3119,-1.5410,0.3384,1.608
20.169000,-0.2628,-2.1316,0.4176,2.188
20.169000,-0.2310,-2.8200,0.5027,2.874
20.182000,-0.1388,-3.3674,0.4747,3.404
20.186000,-0.0136,-3.6840,0.2089,3.690
20.190000,0.3299,-3.7960,0.2439,3.818
20.193000,0.4964,-3.6623,0.3579,3.713
20.195000,0.4665,-3.3310,0.5558,3.409
20.211000,0.3448,-2.8867,0.6626,2.982
20.213000,0.1803,-2.3190,0.5821,2.398
20.216000,0.1008,-1.9126,0.3865,1.954
20.219000,0.0784,-1.5151,0.1669,1.526
20.221000,0.0919,-1.2032,-0.0798,1.209
20.223000,0.1235,-0.9129,-0.3158,0.974
20.227000,0.1609,-0.7548,-0.5447,0.945
20.232000,0.1769,-0.6566,-0.6865,0.966
20.240000,0.1962,-0.5964,-0.7495,0.978
20.241000,0.2066,-0.5763,-0.7451,0.964
20.248000,0.2092,-0.6011,-0.6446,0.906
20.257000,0.1992,-0.6687,-0.5494,0.888
20.258000,0.1797,-0.7666,-0.4472,0.906
20.262000,0.1592,-0.8796,-0.3508,0.960
20.267000,0.1721,-0.9949,-0.2348,1.037
20.272000,0.2391,-1.0462,-0.1445,1.083
20.279000,0.3434,-1.0547,-0.0467,1.110
20.282000,0.4818,-1.0332,0.0575,1.141
20.289000,0.6255,-0.9953,0.1572,1.186
20.292000,0.7608,-0.9435,0.2814,1.244
20.299000,0.7940,-0.9155,0.3691,1.267
20.308000,0.7464,-0.9074,0.4217,1.248
20.310000,0.6224,-0.9215,0.4280,1.192
20.313000,0.4426,-0.9267,0.3858,1.097
20.326000,0.3359,-0.9260,0.3423,1.043
20.331000,0.2840,-0.9246,0.2955,1.011
20.338000,0.2729,-0.9201,0.2498,0.992
20.341000,0.2748,-0.9174,0.1931,0.977
20.346000,0.2670,-0.9212,0.1507,0.971
20.348000,0.2454,-0.9297,0.1079,0.968
20.351000,0.2215,-0.9308,0.0713,0.959
20.355000,0.1956,-0.9397,0.0343,0.960
20.359000,0.1577,-0.9599,-0.0077,0.973
20.362000,0.1225,-0.9786,-0.0425,0.987
20.367000,0.0844,-0.9986,-0.0768,1.005
20.372000,0.0473,-1.0200,-0.1092,1.027
20.378000,0.0099,-1.0395,-0.1450,1.050
20.382000,-0.0131,-1.0538,-0.1703,1.068
20.388000,-0.0276,-1.0588,-0.1823,1.075
20.392000,-0.0355,-1.0627,-0.1888,1.080
20.398000,-0.0478,-1.0779,-0.1819,1.094
20.402000,-0.0539,-1.0767,-0.1562,1.089
20.408000,-0.0489,-1.0685,-0.1278,1.077
20.412000,-0.0453,-1.0564,-0.0920,1.061
20.428000,-0.0426,-1.0458,-0.0520,1.048
20.429000,-0.0376,-1.0346,-0.0045,1.035
20.430000,-0.0346,-1.0298,0.0315,1.031
20.436000,-0.0265,-1.0238,0.0641,1.026
20.439000,-0.0123,-1.0195,0.0882,1.023
20.443000,0.0111,-1.0102,0.1099,1.016
20.448000,0.0330,-0.9998,0.1193,1.007
20.454000,0.0558,-0.9926,0.1211,1.002
20.459000,0.0800,-0.9858,0.1196,0.996
20.462000,0.1054,-0.9810,0.1126,0.993
20.468000,0.1356,-0.9780,0.0996,0.992
20.473000,0.1597,-0.9747,0.0855,0.991
20.480000,0.1798,-0.9695,0.0707,0.989
20.483000,0.1953,-0.9643,0.0531,0.985
20.500000,0.2106,-0.9616,0.0336,0.985
20.500000,0.2167,-0.9578,0.0167,0.982
20.501000,0.2196,-0.9552,-0.0005,0.980
20.509000,0.2201,-0.9530,-0.0164,0.978
20.512000,0.2169,-0.9524,-0.0380,0.978
20.514000,0.2119,-0.9551,-0.0533,0.980
20.520000,0.2033,-0.9585,-0.0678,0.982
20.524000,0.1910,-0.9665,-0.0761,0.988
20.529000,0.1765,-0.9738,-0.0809,0.993
20.533000,0.1600,-0.9828,-0.0779,0.999
20.542000,0.1480,-0.9866,-0.0695,1.000
20.545000,0.1356,-0.9905,-0.0566,1.001
20.548000,0.1264,-0.9913,-0.0386,1.000
20.552000,0.1165,-0.9902,-0.0166,0.997
20.562000,0.1099,-0.9865,0.0044,0.993
20.565000,0.1052,-0.9855,0.0232,0.991
20.569000,0.1007,-0.9886,0.0413,0.995
20.588000,0.0977,-0.9872,0.0588,0.994
20.588000,0.0958,-0.9876,0.0771,0.995
20.589000,0.0941,-0.9886,0.0905,0.997
20.590000,0.0977,-0.9916,0.0991,1.001
20.592000,0.1022,-0.9920,0.1062,1.003
20.598000,0.1120,-0.9871,0.1076,0.999
20.602000,0.1211,-0.9815,0.1029,0.994
20.608000,0.1279,-0.9778,0.0965,0.991
20.612000,0.1319,-0.9765,0.0860,0.989
20.619000,0.1362,-0.9733,0.0702,0.985
20.622000,0.1397,-0.9734,0.0523,0.985
20.627000,0.1410,-0.9733,0.0364,0.984
20.632000,0.1423,-0.9731,0.0200,0.984
20.640000,0.1439,-0.9749,0.0029,0.985
20.642000,0.1465,-0.9805,-0.0140,0.992
20.649000,0.1494,-0.9826,-0.0255,0.994
20.669000,0.1522,-0.9817,-0.0369,0.994
20.674000,0.1551,-0.9824,-0.0421,0.995
20.676000,0.1554,-0.9809,-0.0461,0.994
20.678000,0.1581,-0.9792,-0.0437,0.993
20.680000,0.1609,-0.9786,-0.0396,0.992
20.682000,0.1603,-0.9787,-0.0309,0.992
20.684000,0.1588,-0.9788,-0.0228,0.992
20.691000,0.1561,-0.9780,-0.0105,0.990
20.696000,0.1539,-0.9761,0.0004,0.988
20.699000,0.1528,-0.9767,0.0083,0.989
20.702000,0.1496,-0.9766,0.0151,0.988
20.712000,0.1466,-0.9750,0.0224,0.986
20.715000,0.1423,-0.9758,0.0270,0.986
20.718000,0.1388,-0.9745,0.0290,0.985
20.724000,0.1351,-0.9731,0.0324,0.983
20.727000,0.1322,-0.9761,0.0359,0.986
20.732000,0.1291,-0.9786,0.0379,0.988
20.740000,0.1269,-0.9808,0.0393,0.990
20.742000,0.1253,-0.9817,0.0403,0.991
20.747000,0.1267,-0.9857,0.0410,0.995
20.752000,0.1228,-0.9883,0.0443,0.997
20.758000,0.1207,-0.9881,0.0425,0.996
20.763000,0.1187,-0.9896,0.0420,0.998
20.767000,0.1193,-0.9893,0.0406,0.997
20.772000,0.1185,-0.9881,0.0360,0.996
20.778000,0.1182,-0.9877,0.0325,0.995
20.782000,0.1165,-0.9852,0.0231,0.992
20.789000,0.1154,-0.9828,0.0166,0.990
20.792000,0.1158,-0.9835,0.0111,0.990
20.799000,0.1178,-0.9804,0.0050,0.987
20.803000,0.1220,-0.9783,0.0009,0.986
20.810000,0.1236,-0.9771,-0.0021,0.985
20.814000,0.1251,-0.9788,-0.0037,0.987
20.819000,0.1266,-0.9803,-0.0039,0.988
20.827000,0.1292,-0.9830,-0.0012,0.991
20.830000,0.1335,-0.9850,-0.0023,0.994
20.833000,0.1371,-0.9868,0.0011,0.996
20.841000,0.1413,-0.9893,0.0016,0.999
20.845000,0.1435,-0.9896,0.0031,1.000
20.848000,0.1448,-0.9882,0.0042,0.999
20.852000,0.1478,-0.9882,0.0059,0.999
20.863000,0.1504,-0.9850,0.0071,0.996
20.865000,0.1532,-0.9792,0.0076,0.991
20.869000,0.1571,-0.9744,0.0086,0.987
20.882000,0.1606,-0.9694,0.0093,0.983
20.883000,0.1628,-0.9670,0.0114,0.981
20.884000,0.1628,-0.9638,0.0164,0.978
20.889000,0.1615,-0.9651,0.0215,0.979
20.892000,0.1597,-0.9651,0.0264,0.979
20.899000,0.1559,-0.9651,0.0319,0.978
20.902000,0.1523,-0.9687,0.0364,0.981
20.909000,0.1510,-0.9689,0.0362,0.981
20.912000,0.1501,-0.9721,0.0364,0.984
20.937000,0.1467,-0.9755,0.0320,0.987
20.938000,0.1441,-0.9789,0.0299,0.990
20.938000,0.1380,-0.9825,0.0258,0.992
20.939000,0.1340,-0.9847,0.0202,0.994
20.943000,0.1297,-0.9863,0.0172,0.995
20.944000,0.1245,-0.9871,0.0110,0.995
20.949000,0.1193,-0.9871,0.0037,0.994
20.952000,0.1153,-0.9864,-0.0028,0.993
20.959000,0.1110,-0.9844,-0.0045,0.991
20.962000,0.1093,-0.9833,-0.0064,0.989
20.968000,0.1096,-0.9811,-0.0055,0.987
20.974000,0.1135,-0.9776,-0.0028,0.984
20.978000,0.1154,-0.9770,0.0029,0.984
20.982000,0.1178,-0.9758,0.0090,0.983
20.999000,0.1206,-0.9753,0.0173,0.983
20.999000,0.1241,-0.9755,0.0274,0.984
21.000000,0.1245,-0.9775,0.0337,0.986
21.003000,0.1290,-0.9798,0.0391,0.989
21.011000,0.1296,-0.9797,0.0446,0.989
21.015000,0.1333,-0.9828,0.0458,0.993
21.019000,0.1336,-0.9842,0.0473,0.994
21.029000,0.1349,-0.9844,0.0474,0.995
21.031000,0.1358,-0.9852,0.0435,0.995
21.033000,0.1380,-0.9836,0.0423,0.994
21.040000,0.1429,-0.9816,0.0360,0.993
21.045000,0.1422,-0.9799,0.0341,0.991
21.048000,0.1399,-0.9850,0.0308,0.995
21.052000,0.1383,-0.9890,0.0298,0.999
21.064000,0.1393,-0.9932,0.0294,1.003
21.066000,0.1412,-0.9924,0.0277,1.003
21.069000,0.1406,-0.9940,0.0242,1.004
21.080000,0.1383,-0.9944,0.0186,1.004
21.081000,0.1340,-0.9941,0.0122,1.003
21.082000,0.1259,-0.9936,0.0021,1.002
21.089000,0.1195,-0.9903,-0.0082,0.998
21.092000,0.1115,-0.9872,-0.0186,0.994
21.098000,0.1051,-0.9836,-0.0304,0.990
21.102000,0.0960,-0.9824,-0.0412,0.988
21.109000,0.0887,-0.9784,-0.0453,0.984
21.113000,0.0779,-0.9749,-0.0424,0.979
21.118000,0.0673,-0.9712,-0.0324,0.974
21.124000,0.0613,-0.9708,-0.0175,0.973
21.128000,0.0613,-0.9679,0.0090,0.970
21.132000,0.0652,-0.9649,0.0338,0.968
21.140000,0.0707,-0.9572,0.0624,0.962
21.144000,0.0777,-0.9501,0.0910,0.958
21.148000,0.0844,-0.9456,0.1253,0.958
21.153000,0.0910,-0.9428,0.1510,0.959
21.172000,0.0958,-0.9436,0.1733,0.964
21.178000,0.0981,-0.9483,0.1921,0.973
21.180000,0.0997,-0.9579,0.2125,0.986
21.183000,0.0998,-0.9694,0.2223,1.000
21.185000,0.1019,-0.9839,0.2298,1.016
21.188000,0.1046,-0.9976,0.2310,1.029
21.191000,0.1099,-1.0074,0.2250,1.038
21.193000,0.1162,-1.0163,0.2062,1.044
21.201000,0.1202,-1.0243,0.1838,1.048
21.205000,0.1233,-1.0296,0.1592,1.049
21.210000,0.1286,-1.0277,0.1292,1.044
21.213000,0.1384,-1.0232,0.0908,1.036
21.218000,0.1434,-1.0197,0.0619,1.032
21.223000,0.1494,-1.0142,0.0358,1.026
21.227000,0.1535,-1.0128,0.0109,1.024
21.232000,0.1592,-1.0103,-0.0131,1.023
21.240000,0.1623,-1.0105,-0.0276,1.024
21.242000,0.1638,-1.0101,-0.0391,1.024
21.248000,0.1649,-1.0103,-0.0467,1.025
21.252000,0.1680,-1.0085,-0.0461,1.023
21.259000,0.1750,-1.0062,-0.0377,1.022
21.262000,0.1807,-1.0014,-0.0275,1.018
21.268000,0.1842,-0.9960,-0.0159,1.013
21.279000,0.1857,-0.9910,-0.0049,1.008
21.279000,0.1864,-0.9821,0.0062,1.000
21.282000,0.1846,-0.9615,0.0208,0.979
21.287000,0.1747,-0.9554,0.0309,0.972
21.293000,0.1659,-0.9547,0.0266,0.969
21.298000,0.1542,-0.9528,0.0260,0.966
21.302000,0.1459,-0.9513,0.0265,0.963
21.309000,0.1377,-0.9560,0.0235,0.966
21.313000,0.1267,-0.9544,0.0247,0.963
21.318000,0.1146,-0.9517,0.0371,0.959
21.329000,0.0986,-0.9552,0.0443,0.961
21.332000,0.0943,-0.9573,0.0475,0.963
21.334000,0.0978,-0.9557,0.0729,0.963
21.343000,0.0916,-0.9527,0.0975,0.962
21.347000,0.0770,-0.9555,0.1214,0.966
21.349000,0.0547,-0.9629,0.1353,0.974
21.353000,0.0381,-0.9682,0.1526,0.981
21.365000,0.0241,-0.9765,0.1671,0.991
21.366000,0.0137,-0.9877,0.1766,1.003
21.368000,0.0084,-0.9955,0.1841,1.012
21.384000,0.0081,-1.0004,0.1876,1.018
21.384000,-0.0018,-1.0094,0.1802,1.025
21.385000,-0.0054,-1.0177,0.1689,1.032
21.387000,-0.0039,-1.0276,0.1452,1.038
21.393000,0.0000,-1.0293,0.1214,1.036
21.398000,0.0066,-1.0254,0.0934,1.030
21.402000,0.0173,-1.0173,0.0635,1.019
21.407000,0.0287,-1.0087,0.0363,1.010
21.412000,0.0453,-0.9976,0.0066,0.999
21.425000,0.0607,-0.9881,-0.0134,0.990
21.426000,0.0785,-0.9817,-0.0279,0.985
21.430000,0.0959,-0.9781,-0.0392,0.984
21.433000,0.1165,-0.9755,-0.0533,0.984
21.441000,0.1353,-0.9742,-0.0608,0.985
21.443000,0.1539,-0.9706,-0.0696,0.985
21.448000,0.1675,-0.9664,-0.0771,0.984
21.452000,0.1779,-0.9642,-0.0899,0.985
21.458000,0.1794,-0.9643,-0.1059,0.987
21.462000,0.1783,-0.9687,-0.1275,0.993
21.468000,0.1744,-0.9766,-0.1550,1.004
21.476000,0.1647,-0.9901,-0.1879,1.021
21.478000,0.1404,-1.0116,-0.2417,1.049
21.482000,0.1114,-1.0349,-0.2911,1.081
21.491000,0.0739,-1.0597,-0.3476,1.118
21.493000,0.0303,-1.0824,-0.4026,1.155
21.498000,-0.0244,-1.1079,-0.4582,1.199
21.502000,-0.0708,-1.1296,-0.4856,1.232
21.509000,-0.1097,-1.1470,-0.4935,1.253
21.513000,-0.1312,-1.1573,-0.4829,1.261
21.519000,-0.1562,-1.1733,-0.4420,1.263
21.525000,-0.1655,-1.1785,-0.3693,1.246
21.530000,-0.1652,-1.1769,-0.2973,1.225
21.532000,-0.1636,-1.1734,-0.2227,1.205
21.543000,-0.1587,-1.1630,-0.1543,1.184
21.546000,-0.1255,-1.1265,-0.0801,1.136
21.548000,-0.1146,-1.1219,-0.0244,1.128
21.552000,-0.1099,-1.1161,0.0123,1.122
21.560000,-0.0910,-1.0991,0.0321,1.103
21.564000,-0.0507,-1.0725,0.0373,1.074
21.571000,-0.0155,-1.0481,0.0242,1.048
21.572000,0.0153,-1.0257,0.0044,1.026
21.589000,0.0414,-1.0089,-0.0220,1.010
21.590000,0.0640,-1.0007,-0.0495,1.004
21.591000,0.0842,-1.0024,-0.0903,1.010
21.592000,0.0954,-1.0185,-0.1267,1.031
21.598000,0.1091,-1.0509,-0.1725,1.071
21.602000,0.1333,-1.0942,-0.2223,1.125
21.608000,0.1658,-1.1545,-0.3210,1.210
21.612000,0.2053,-1.2025,-0.4338,1.295
21.618000,0.2304,-1.2469,-0.6034,1.404
21.623000,0.2350,-1.2841,-0.7979,1.530
21.627000,0.2343,-1.3131,-0.9627,1.645
21.632000,0.2254,-1.3215,-1.0377,1.695
21.641000,0.2403,-1.3182,-1.0886,1.726
21.647000,0.2617,-1.3101,-1.1121,1.738
21.650000,0.2993,-1.3097,-1.1013,1.737
21.655000,0.3164,-1.3157,-0.9493,1.653
21.668000,0.3087,-1.3052,-0.6436,1.488
21.671000,0.3395,-1.2472,-0.3279,1.333
21.675000,0.3255,-1.1984,0.0399,1.243
21.689000,0.2508,-1.1962,0.4482,1.302
21.692000,0.1543,-1.1971,0.7086,1.400
21.694000,0.0352,-1.2072,0.8432,1.473
21.695000,-0.0514,-1.1984,0.8324,1.460
21.696000,-0.1151,-1.1683,0.7274,1.381
21.699000,-0.1597,-1.1124,0.5237,1.240
21.702000,-0.2114,-1.0620,0.3668,1.143
21.709000,-0.2875,-1.0290,0.2373,1.094
21.712000,-0.3893,-1.0216,0.0931,1.097
21.718000,-0.5069,-1.0462,-0.1432,1.171
21.727000,-0.5139,-1.0609,-0.3401,1.227
21.728000,-0.4653,-1.0800,-0.4735,1.268
21.732000,-0.3293,-1.0802,-0.5494,1.256
21.738000,-0.1156,-1.0464,-0.5409,1.184
21.743000,-0.0053,-1.0107,-0.5085,1.131
21.747000,0.0672,-0.9744,-0.4361,1.070
21.753000,0.1126,-0.9361,-0.3431,1.003
21.761000,0.1556,-0.8995,-0.2546,0.948
21.762000,0.1578,-0.8623,-0.2045,0.900
21.768000,0.1411,-0.8297,-0.1902,0.863
21.779000,0.1230,-0.7933,-0.1924,0.825
21.780000,0.1134,-0.7581,-0.1730,0.786
21.782000,0.0545,-0.7203,-0.1413,0.736
21.788000,0.0105,-0.6849,-0.1258,0.696
21.794000,-0.0137,-0.6550,-0.1375,0.669
21.798000,-0.0253,-0.6380,-0.1694,0.661
21.802000,-0.0348,-0.6317,-0.2088,0.666
21.808000,-0.0479,-0.6450,-0.2525,0.694
21.812000,-0.0705,-0.6561,-0.2786,0.716
21.818000,-0.0649,-0.6632,-0.2930,0.728
21.827000,-0.0633,-0.6786,-0.2996,0.744
21.830000,-0.0634,-0.7034,-0.3089,0.771
21.833000,-0.0749,-0.7308,-0.3209,0.802
21.838000,-0.0704,-0.7494,-0.3364,0.824
21.843000,-0.0827,-0.7693,-0.3503,0.849
21.847000,-0.1047,-0.7919,-0.3479,0.871
21.852000,-0.1152,-0.8072,-0.3472,0.886
21.860000,-0.1186,-0.8117,-0.3552,0.894
21.863000,-0.1137,-0.8100,-0.3701,0.898
21.867000,-0.1124,-0.8071,-0.3898,0.903
21.875000,-0.1154,-0.8055,-0.4106,0.911
21.877000,-0.1000,-0.7913,-0.4205,0.902
21.881000,-0.0760,-0.7679,-0.4126,0.875
21.887000,-0.0619,-0.7487,-0.4114,0.857
21.892000,-0.0613,-0.7383,-0.4189,0.851
21.898000,-0.0589,-0.7263,-0.4202,0.841
21.902000,-0.0573,-0.7158,-0.4070,0.825
21.908000,-0.0428,-0.6975,-0.3982,0.804
21.912000,-0.0352,-0.6806,-0.3897,0.785
21.923000,-0.0220,-0.6611,-0.3924,0.769
21.925000,-0.0194,-0.6494,-0.3959,0.761
21.929000,-0.0266,-0.6357,-0.4137,0.759
21.932000,-0.0342,-0.6229,-0.4472,0.768
21.938000,-0.0561,-0.6287,-0.4790,0.792
21.942000,-0.0524,-0.6328,-0.4955,0.805
21.947000,-0.0655,-0.6510,-0.5110,0.830
21.951000,-0.0752,-0.6738,-0.5156,0.852
21.961000,-0.0752,-0.6949,-0.5284,0.876
21.965000,-0.0837,-0.7167,-0.5388,0.901
21.967000,-0.0916,-0.7462,-0.5317,0.921
21.980000,-0.0981,-0.7729,-0.5216,0.938
21.983000,-0.0971,-0.7951,-0.5093,0.949
21.985000,-0.1149,-0.8138,-0.4856,0.955
21.987000,-0.1202,-0.8199,-0.4749,0.955
21.993000,-0.1361,-0.8270,-0.4576,0.955
21.998000,-0.1311,-0.8210,-0.4409,0.941
22.002000,-0.1367,-0.8104,-0.4310,0.928
22.010000,-0.1367,-0.8034,-0.4351,0.924
22.012000,-0.1281,-0.7857,-0.4625,0.921
22.018000,-0.1099,-0.7680,-0.5024,0.924
22.023000,-0.1203,-0.7593,-0.5377,0.938
22.027000,-0.1196,-0.7575,-0.5606,0.950
22.032000,-0.1228,-0.7627,-0.5718,0.961
22.038000,-0.1298,-0.7808,-0.5679,0.974
22.043000,-0.1136,-0.7847,-0.5541,0.967
22.047000,-0.0928,-0.7674,-0.5365,0.941
22.051000,-0.0702,-0.7620,-0.5160,0.923
22.062000,-0.0398,-0.7494,-0.4775,0.889
22.064000,-0.0421,-0.7340,-0.4600,0.867
22.067000,-0.0430,-0.7080,-0.4501,0.840
22.072000,-0.0387,-0.6900,-0.4509,0.825
22.080000,-0.0326,-0.6705,-0.4558,0.811
22.082000,-0.0382,-0.6561,-0.4610,0.803
22.087000,-0.0448,-0.6491,-0.4420,0.787
22.092000,-0.0186,-0.6199,-0.4303,0.755
22.098000,-0.0090,-0.6034,-0.4281,0.740
22.102000,-0.0125,-0.5962,-0.4130,0.725
22.109000,-0.0153,-0.5893,-0.4071,0.716
22.112000,-0.0171,-0.5799,-0.4079,0.709
22.118000,-0.0211,-0.5727,-0.4106,0.705
22.122000,-0.0243,-0.5628,-0.4192,0.702
22.128000,-0.0308,-0.5595,-0.4291,0.706
22.132000,-0.0445,-0.5532,-0.4409,0.709
22.139000,-0.0381,-0.5565,-0.4611,0.724
22.142000,-0.0506,-0.5664,-0.4820,0.745
22.147000,-0.0752,-0.5827,-0.4980,0.770
22.152000,-0.0983,-0.5994,-0.5044,0.790
22.161000,-0.1179,-0.6214,-0.5085,0.812
22.163000,-0.1302,-0.6440,-0.5118,0.833
22.168000,-0.1383,-0.6613,-0.5095,0.846
22.193000,-0.1480,-0.6795,-0.5014,0.857
22.194000,-0.1601,-0.7025,-0.4992,0.877
22.195000,-0.1656,-0.7207,-0.4955,0.890
22.195000,-0.1741,-0.7388,-0.4966,0.907
22.196000,-0.1790,-0.7603,-0.5058,0.931
22.200000,-0.1754,-0.7832,-0.5128,0.952
22.203000,-0.1528,-0.8207,-0.5167,0.982
22.211000,-0.1115,-0.8701,-0.5217,1.021
22.216000,-0.0346,-0.9440,-0.5293,1.083
22.219000,0.0950,-1.0395,-0.5281,1.170
22.223000,0.3248,-1.2272,-0.5282,1.375
22.234000,0.5672,-1.4547,-0.6190,1.680
22.240000,0.7832,-1.7926,-0.8633,2.138
22.244000,0.8988,-2.2294,-1.2383,2.704
22.246000,0.8717,-2.8480,-1.6675,3.413
22.249000,0.7531,-3.3049,-1.8303,3.852
22.255000,0.4923,-3.6584,-1.7607,4.090
22.263000,0.1330,-3.7971,-1.4803,4.078
22.264000,-0.1426,-3.5435,-1.2116,3.748
22.271000,-0.1867,-2.7207,-1.1143,2.946
22.272000,-0.1695,-2.0506,-1.0622,2.316
22.278000,-0.0842,-1.5019,-0.9139,1.760
22.282000,0.1237,-1.0669,-0.6451,1.253
