time,ax,ay,az,aT
2.4920,-0.0260,-0.0329,-0.0683,0.080
2.5000,-0.0159,-0.0150,-0.0060,0.023
2.5110,0.0548,0.0344,0.0984,0.118
2.5230,0.1078,0.0794,0.2268,0.263
2.5310,-0.0091,0.0201,0.0418,0.047
2.5400,-0.0494,-0.0012,-0.0711,0.087
2.5530,-0.0147,0.0110,-0.0425,0.046
2.5600,0.0313,0.0457,0.1096,0.123
2.5710,0.0472,0.0631,0.0329,0.085
2.5800,0.1017,0.1021,-0.0017,0.144
2.5910,0.1211,0.1257,-0.0935,0.198
2.6000,0.0676,0.1369,-0.1602,0.221
2.6120,0.0014,0.0953,-0.0831,0.126
2.6230,0.0016,0.0938,-0.0828,0.125
2.6310,0.0393,0.0404,0.1902,0.198
2.6400,0.0708,0.0395,0.2670,0.279
2.6500,0.0450,0.0147,0.1848,0.191
2.6640,-0.0500,0.0387,0.2408,0.249
2.6720,-0.1130,0.0640,0.3356,0.360
2.6800,-0.0506,0.0639,0.3313,0.341
2.6920,0.0961,0.0141,0.2030,0.225
2.7000,0.1372,0.0067,0.0990,0.169
2.7120,0.0129,-0.0092,0.0097,0.019
2.7220,-0.1252,0.0018,-0.0231,0.127
2.7310,-0.1749,0.0517,-0.0691,0.195
2.7420,-0.1690,0.0567,-0.1225,0.216
2.7510,-0.1412,0.0615,-0.1102,0.189
2.7600,-0.1291,0.0223,-0.1641,0.210
2.7720,-0.0853,0.0049,-0.2111,0.228
2.7800,-0.0300,0.0271,-0.1853,0.190
2.7940,-0.0415,0.0415,-0.1648,0.175
2.8010,-0.0581,0.0651,-0.1386,0.164
2.8110,-0.0520,0.0594,-0.1668,0.185
2.8200,-0.0518,0.0336,-0.1678,0.179
2.8310,-0.0284,0.0028,-0.1008,0.105
2.8410,0.0107,-0.0261,0.0067,0.029
2.8510,0.0021,-0.0247,0.0627,0.067
2.8600,-0.0354,-0.0162,0.0744,0.084
2.8710,-0.0112,0.0197,0.0385,0.045
2.8800,0.0094,0.0288,-0.0667,0.073
2.8930,-0.0491,-0.0025,-0.0698,0.085
2.9020,-0.0432,-0.0125,-0.0107,0.046
2.9130,-0.0318,-0.0058,-0.0055,0.033
2.9210,-0.0341,0.0162,-0.0375,0.053
2.9330,-0.0173,-0.0084,-0.1484,0.150
2.9410,0.0734,-0.0163,-0.1684,0.184
2.9520,0.0936,-0.0103,-0.0581,0.111
2.9600,0.0486,-0.0479,0.0184,0.071
2.9730,-0.0234,-0.0535,0.0587,0.083
2.9810,-0.0626,-0.0084,-0.0075,0.064
2.9920,-0.0534,0.0050,-0.0521,0.075
3.0030,-0.0164,-0.0085,-0.0606,0.063
