time,ax,ay,az,aT
2.1300,-0.0348,-0.2931,-1.6195,1.646
2.1360,-0.0019,-0.5397,-1.7094,1.793
2.1460,-0.5527,-0.6563,-1.1944,1.471
2.1650,-0.5126,-0.5503,-0.5577,0.936
2.1690,-0.2420,-0.3601,0.1743,0.468
2.1820,0.0183,0.0456,0.3376,0.341
2.1860,-0.2042,-0.2303,0.7760,0.835
2.1950,-0.2040,-0.3945,0.6457,0.784
2.2070,-0.6610,-0.5609,0.4011,0.955
2.2150,-0.9962,-0.6684,0.1292,1.207
2.2270,-0.9289,-0.6702,-0.1132,1.151
2.2350,-0.6200,-0.5641,-0.2176,0.866
2.2460,-0.2765,-0.3754,-0.2469,0.528
2.2680,-0.1830,-0.2398,-0.3988,0.500
2.2790,-0.2147,-0.1757,-0.4892,0.562
2.2840,-0.3230,-0.1797,-0.5143,0.633
2.2900,-0.2687,-0.1987,-0.4558,0.565
2.2960,-0.1243,-0.2466,-0.1897,0.335
2.3070,-0.1250,-0.3000,-0.1006,0.340
2.3150,-0.1559,-0.3081,-0.1690,0.384
2.3260,-0.2143,-0.2668,-0.2026,0.398
2.3350,-0.1555,-0.2340,-0.2692,0.389
2.3520,-0.0957,-0.1892,-0.2178,0.304
2.3610,-0.1232,-0.1659,-0.1454,0.253
2.3670,-0.1060,-0.1661,-0.1359,0.239
2.3770,-0.1068,-0.1853,-0.1683,0.272
2.3860,-0.1300,-0.2025,-0.1711,0.295
2.3960,-0.1473,-0.1689,-0.1206,0.255
2.4140,-0.0974,-0.1155,-0.0837,0.173
2.4160,-0.0345,-0.0715,-0.0724,0.107
2.4300,0.0347,-0.0602,-0.0553,0.089
2.4350,0.0754,-0.0271,0.0478,0.093
2.4470,0.0672,0.0404,0.0648,0.102
2.4600,0.0139,0.0506,0.0486,0.071
2.4660,-0.0137,0.0215,-0.0531,0.059
2.4750,-0.0594,-0.0397,-0.1865,0.200
2.4860,-0.0747,-0.0644,-0.2894,0.306
2.4950,-0.0356,-0.0357,-0.3108,0.315
2.5100,0.0366,-0.0250,-0.2846,0.288
